ပေးခဲ့ပြီး	homegrown	royalties	donation	francois	redondo	anaheim	earmarked	pledged	lucasfilm	francs
ပေးခဲ့သော	financed	bogus	questionable	worthless	lenient	worthy	overdue	dubious	withheld	uncertain
ပေးခဲ့သည်	requested	provided	offered	refused	needed	receive	included	need	promised	requesting
ပေးချေ	pay	payment	payable	rent	compensation	payments	incentive	monies	refund	fees
ပေးခြင်း	remission	revocation	payment	repayment	restitution	granting	rejection	confiscation	execution	administering
ပေးစာ	requesting	receipt	request	requested	confidential	mailed	receive	forwarded	monies	solicited
ပေးဆောင်	pay	paying	salary	payment	refund	payments	paid	repaid	repay	donate
ပေးဆောင်ရသော	payment	payments	payroll	payable	premiums	remuneration	repaid	allocating	costs	efficient
ပေးဆောင်ရန်	shortfall	payments	reimbursement	taxpayer	repayment	subsidies	payment	rebate	costs	subsidy
ပေးဆပ်	pay	paying	buy	paid	incentive	afford	taxed	profits	entitlement	sell
ပေးတာ	receive	offered	need	pay	salary	tuition	incentive	offer	vouchers	paying
ပေးတဲ့	need	knowing	really	want	wanting	anyway	whatever	hated	never	fooled
ပေးထား	vouchers	coupons	fees	pay	payment	voucher	refund	payable	discounted	paying
ပေးထားခြင်း	complication	correction	application	deletion	limitations	expiration	augmentation	omission	insertion	limitation
ပေးထားသော	unusual	certain	required	plural	additional	singular	uncommon	prefixed	specifying	prepaid
ပေးနိုင်	needing	needed	sufficient	donate	need	afford	receive	insufficient	provide	deserving
ပေးနိုင်ရန်	optimize	enable	shortfall	enables	equip	prioritize	funding	nsf	insufficient	vouchers
ပေးနိုင်သော	useful	sufficient	difficult	insufficient	efficient	inadequate	adequate	responsive	beneficial	efficiently
ပေးပါ	receive	send	mailed	request	requests	receipt	requesting	refund	coupons	withholding
ပေးပို့	send	forwarded	sending	mails	requesting	mailed	receipt	forwarding	messages	mail
ပေးပို့ခဲ့သည်	requesting	forwarded	sending	requested	requests	relayed	reports	mailed	request	send
ပေးပို့ခြင်း	requesting	forwarding	messages	requests	receipt	sending	forwarded	request	notification	mails
ပေးပို့ရန်	forwarded	requesting	send	requests	notify	mails	request	receipt	email	messages
ပေးပို့သော	forwarded	mails	requesting	mailed	sending	send	requests	messages	forwarding	email
ပေးပြီး	prepaid	coupons	refund	buy	vouchers	payment	syringe	coupon	receipt	voucher
ပေးပြီးလျှင်	secretions	alexios	secrete	syringe	hyphae	duct	pyrrhus	secretion	antigonus	gaetano
ပေးမည်	payment	refund	vouchers	buy	offer	payable	payments	repaid	pay	repay
ပေးမည့်	vouchers	refund	buy	payment	voucher	authorize	purchase	payments	payable	rebate
ပေးရ	fees	refund	payment	paying	pay	payable	payments	rebate	vouchers	reimbursement
ပေးရမည်	payment	refund	payments	fees	reimbursement	beneficiary	payable	certificates	taxpayer	vouchers
ပေးရသော	payment	payable	fees	fee	payments	paid	prepaid	generous	discounts	discounted
ပေးရာ	grants	fees	granting	payable	monies	exemptions	paying	requesting	authorizes	exemption
ပေးရေး	finance	financing	financial	taxation	cooperation	assistance	finances	consultations	government	investment
ပေးရန်	withhold	allocate	refund	vouchers	taxpayer	grants	authorize	grant	reimbursement	withholding
ပေး၍	shillings	refund	payment	payable	withhold	guilders	livres	buy	furnish	receipt
ပေးလိုက်	paying	coupons	pay	refund	asking	fees	payment	accepting	receive	offer
ပေးဝေ	receive	pay	send	paying	offer	ration	vouchers	provided	coupons	distribute
ပေးသဖြင့်	peshwa	stadtholder	xuanzong	kindly	nawab	livres	sieur	gaozong	persuade	refund
ပေးသော	generous	lenient	bogus	payment	questionable	complimentary	prepaid	unqualified	excellent	dependable
ပေးသည်	payment	receive	prepaid	payments	paying	pay	refund	delivery	deliver	discounts
ပေးသွင်း	refund	payment	buy	pay	obtain	purchase	receive	purchaser	payable	purchasers
ပေးအပ်	granting	bestowed	payable	awarding	receive	awarded	receiving	bestow	conferred	receipt
ပေးအပ်ခဲ့ပြီး	recipient	putra	earmarked	donation	tuanku	universiti	bestowed	honoris	tengku	honorary
ပေးအပ်ခဲ့သည်	receiving	earmarked	exemptions	receive	received	paid	rewarded	monies	incurred	exemption
ပေးအပ်ခြင်း	granting	conferring	revocation	restitution	receipt	reparation	awarding	payment	conferred	procuring
ပေးအပ်ရန်	authorize	authorizing	authorizes	assistance	payment	withhold	grants	receipt	vouchers	payments
ပေးအပ်သော	awarded	awarding	honoris	honorary	causa	meritorious	diplomas	receipt	competent	recipient
ပဲ	so	just	one	hence	only	way	but	hang	get	toss
ပဲခူး	kachin	toungoo	railway	outposts	arvn	battalions	arakan	sappers	rearguard	artillery
ပဲခူးကို	toungoo	pskov	redoubt	tây	bijapur	overran	gnaeus	toyotomi	pavn	selsoviet
ပဲခူးတိုင်း	baptist	presbyterian	dabney	railway	ferry	seaford	samford	bandon	gnr	taw
ပဲရော့	photographer	screenwriter	composer	impresario	cinematographer	songwriter	musician	illustrator	publicist	illustrators
ပဲရစ်	outside	traveled	scouted	city	attended	photographed	photographer	travelled	munich	immigrated
ပဲရစ်မြို့	city	rome	antwerp	lucca	naples	budapest	italy	cities	vienna	stuttgart
ပဲ့	bed	sucked	bends	inside	pounded	blown	blowing	swallowed	trapped	gently
ပေါ	one	capers	filled	hence	popped	tasted	namely	coke	canned	spilling
ပေါများ	valleys	hillsides	floodplains	forests	rivers	habitats	ravines	plentiful	watersheds	watercourses
ပေါများစွာ	plentiful	floodplains	abundant	ecologically	abound	ravines	climates	ecosystems	impacts	farmlands
ပေါများပြီး	plentiful	abundant	hillsides	floodplains	mangroves	elevations	habitats	abundance	rainforests	savannas
ပေါများသော	plentiful	abundant	large	abound	scarce	uncommon	sparsely	relatively	dense	small
ပေါရာဏ	miscellany	poetical	philosophical	poetry	writings	aphorisms	bibliographical	literature	poetic	essays
ပေါဝဲလ်	developer	also	based	content	initially	respectively	graphical	contained	tutorial	additionally
ပေါ့	just	sing	stale	bang	coming	popped	hang	cock	sit	platter
ပေါ့ဆ	hide	trapped	nothing	blasting	something	handle	so	hence	when	actually
ပေါ့ပါး	lighter	fashioned	mechanically	casing	filler	polished	mixture	chilled	thinner	trays
ပေါ့ပါးသော	thin	bulky	shiny	thick	sturdy	showy	large	distinguishable	distinctive	plentiful
ပေါ့ပေါ့ဆဆ	something	anything	nothing	simply	merely	whatever	strangely	cynical	stupidity	frightening
ပေါ့ပေါ့တန်တန်	something	cheerful	clumsy	anything	amusing	pretentious	cherished	seriousness	subtlety	playful
ပေါ့ပေါ့ပါးပါး	anything	something	fondness	sweetness	fashioned	annoying	stuffing	delicious	toast	boiled
ပေါ့တ်	blasting	inside	filling	filler	casing	cans	filled	heater	counters	wired
ပေါ့ပ်	pop	mellow	filler	swinging	fashioned	comical	renditions	silly	hanger	hang
ပေါ်	side	tightened	there	lifted	same	reversing	the	another	lowered	mirrored
ပေါ်က	inside	accidentally	spilling	blasted	crashing	explosion	explodes	another	added	called
ပေါ်တာ	lisbon	clarice	stepdaughter	daughter	premiered	son	pires	portuguese	married	wife
ပေါ်တူဂီ၊	portugal	portuguese	spain	azores	brazil	france	argentina	lisbon	paraguay	italy
ပေါ်တူဂီ	portugal	portuguese	spain	lisbon	azores	afonso	france	reconquista	italy	spaniards
ပေါ်တူဂီတို့	portugal	portuguese	reconquista	iberian	afonso	genoese	spaniards	spain	sardinia	visigoths
ပေါ်တူဂီနိုင်ငံ	portugal	greece	italy	spain	bulgaria	lisbon	germany	netherlands	france	brazil
ပေါ်တူဂီနှင့်	portugal	portuguese	azores	spain	lisbon	madeira	afonso	tomé	coimbra	iberian
ပေါ်တူဂီလူမျိုး	race	portuguese	spaniard	portugal	races	spaniards	europeans	colonists	italians	frenchman
ပေါ်တွင်	zip	underneath	accessing	mirroring	installing	platform	platforms	installation	repurposed	bumpers
ပေါ်ထွက်	reminiscent	inspired	imitated	stylistically	overtones	steeped	likened	originated	echoed	narrative
ပေါ်ထွက်လာ	reminiscent	inspired	echoed	likened	originated	overtones	steeped	imitated	echoing	predated
ပေါ်ထွက်လာခဲ့ပြီး	resurgence	counterculture	reminiscent	bassist	trombone	burgeoning	synth	trombonist	emergence	supplanted
ပေါ်ထွက်လာခဲ့သည်	incorporating	reminiscent	inspired	experimented	predating	featured	predated	emerged	prompted	inception
ပေါ်ထွက်လာခြင်း	rejection	interpretations	origins	compositional	stylistic	emergence	variations	predating	stemming	overtones
ပေါ်ထွက်လာသော	reminiscent	idiosyncratic	stylistic	abrupt	ominous	offbeat	distinctively	edgy	conflicting	stylistically
ပေါ်ထွက်လာသည်	overtones	blending	stylistically	conflicting	stylistic	inspired	reminiscent	resurgence	sensibilities	confrontational
ပေါ်ထွက်လာသည့်	stylistic	offbeat	compositional	stylistically	edgy	blends	spontaneous	precursors	blending	abrupt
ပေါ်ထွန်း	historiography	tradition	historians	antiquity	predates	ancient	traditions	centuries	eras	predating
ပေါ်ထွန်းခဲ့သော	eras	archaic	antiquity	historiography	noteworthy	predating	fanciful	historians	ascribed	predate
ပေါ်ထွန်းလာသော	fanciful	archaic	dynastic	kievan	antiquity	ascribed	hellenistic	historiography	sagas	eras
ပေါ်၌	drawbridge	foam	chutes	shutters	inlets	buoy	piles	wooden	trestle	enclosed
ပေါ်ပေါက်	ushered	emergence	contend	emerged	ideologies	inevitable	hegemony	tightened	struggle	tighter
ပေါ်ပေါက်ခဲ့	contend	emerged	ushered	emergence	overshadowed	existed	fostered	predated	evident	forerunners
ပေါ်ပေါက်ခဲ့ပြီး	emergence	heyday	resurgence	ushered	flourished	forerunners	heralded	emerged	bce	hegemony
ပေါ်ပေါက်ခဲ့သော	stylistically	eras	predating	ascribed	fragmentary	forerunners	antiquity	overshadowed	theorized	predate
ပေါ်ပေါက်ခဲ့သည်	emerged	predating	predated	contend	overshadowed	overlapped	ushered	existed	differed	emergence
ပေါ်ပေါက်လာ	contend	ushered	emergence	existed	emerged	forerunners	tighter	invent	predated	tightened
ပေါ်ပေါက်လာခဲ့ပြီး	emergence	resurgence	ushered	emerged	evolving	evolved	predated	founding	supercharger	burgeoning
ပေါ်ပေါက်လာခြင်း	emergence	centralization	maturation	fragmentation	experimentation	stagnation	disintegration	stratification	onset	standardization
ပေါ်ပေါက်လာသော	interchangeable	interchangeably	actuated	tighter	bureaucratic	aspirated	emergence	valves	ushered	differing
ပေါ်ပေါက်လာသောအခါ	disintegrated	hegemony	cylinders	panhellenic	mycenaean	actuated	cylinder	seleucid	ushered	turbocharger
ပေါ်ပေါက်သော	contradictory	confrontational	bureaucratic	inevitable	confusing	emergence	fragmented	contradictions	inventive	evident
ပေါ်ပြူလာ	participation	founding	incorporation	adoption	inception	institutional	affiliations	garnering	championing	generational
ပေါ်မူတည်၍	configurations	differing	optimized	varying	definitions	predefined	configuration	parameters	types	components
ပေါ်မှ	ramming	navigating	popping	bouncing	swapped	blasted	blowing	explodes	exploding	stun
ပေါ်မှာ	the	called	same	using	for	where	there	changer	while	blasted
